"","site","vol"
"MAD-001_0.5km","MAD-001_0.5km","1400004.149769"
"MAD-002_0.5km","MAD-002_0.5km","1880145.36897343"
"MAD-003_0.5km","MAD-003_0.5km","614371.42023375"
"MAD-004_0.5km","MAD-004_0.5km","2965037.4727381"
"MAD-005_0.5km","MAD-005_0.5km","1494350.5621875"
"MAD-006_0.5km","MAD-006_0.5km","386523.04990125"
"MAD-007_0.5km","MAD-007_0.5km","1623442.7845752"
"MNI-001_0.5km","MNI-001_0.5km","2071363.20652"
"MNI-002_0.5km","MNI-002_0.5km","1118082.78320625"
"MNI-003_0.5km","MNI-003_0.5km","2963099.7203475"
"MNI-004_0.5km","MNI-004_0.5km","550619.24512625"
"MNI-005_0.5km","MNI-005_0.5km","596860.6351575"
"MNI-006_0.5km","MNI-006_0.5km","2430659.72161875"
"MNI-007_0.5km","MNI-007_0.5km","538770.1819575"
"MNI-008_0.5km","MNI-008_0.5km","1916920.5351225"
"MNI-009_0.5km","MNI-009_0.5km","396446.05973625"
"MNI-010_0.5km","MNI-010_0.5km","8014.1220225"
"MNI-011_0.5km","MNI-011_0.5km","2288487.3817125"
"MNI-012_0.5km","MNI-012_0.5km","105398.09548125"
"MNI-013_0.5km","MNI-013_0.5km","285607.86321"
"MNI-014_0.5km","MNI-014_0.5km","1263275.61244375"
"MNI-015_0.5km","MNI-015_0.5km","1728370.87969875"
"MNI-016_0.5km","MNI-016_0.5km","454637.66654625"
"MNI-017_0.5km","MNI-017_0.5km","430753.96243875"
"MNI-018_0.5km","MNI-018_0.5km","447585.18035835"
"MNI-019_0.5km","MNI-019_0.5km","900929.6522925"
"MNI-020_0.5km","MNI-020_0.5km","275185.43002125"
"MNI-021_0.5km","MNI-021_0.5km","238985.4324225"
"MNI-022_0.5km","MNI-022_0.5km","611197.092285"
"MNI-023_0.5km","MNI-023_0.5km","692180.17074375"
"MNI-024_0.5km","MNI-024_0.5km","161253.0760725"
"MNI-025_0.5km","MNI-025_0.5km","277590.06220125"
"MNI-026_0.5km","MNI-026_0.5km","3254.18442750001"
"MNI-027_0.5km","MNI-027_0.5km","439324.37192625"
"MNI-028_0.5km","MNI-028_0.5km","1040890.48044375"
"MNI-029_0.5km","MNI-029_0.5km","534534.94327125"
"MNI-030_0.5km","MNI-030_0.5km","388200.7687275"
"MNI-031_0.5km","MNI-031_0.5km","1087047.69624375"
"MNI-032_0.5km","MNI-032_0.5km","53180.30869125"
"MNI-033_0.5km","MNI-033_0.5km","2370120.86911375"
"MNI-034_0.5km","MNI-034_0.5km","346224.32625875"
"MNI-035_0.5km","MNI-035_0.5km","14166.28282125"
"MNI-036_0.5km","MNI-036_0.5km","174108.5835675"
"MNI-037_0.5km","MNI-037_0.5km","988681.1402175"
"MNI-038_0.5km","MNI-038_0.5km","87469.4998500001"
"MNI-039_0.5km","MNI-039_0.5km","347048.3774175"
